filename,id,full_nominal_quotient,simple_nominal_quotient,word_count,mean_sentence_length
14 C,C148,1.2490272373540856,1.4137931034482758,777,23.545454545454547
14 C,C149,1.0452961672473868,1.1156462585034013,788,23.176470588235293
14 C,C150,0.7252747252747253,0.8153846153846154,675,24.107142857142858
14 C,C151,1.1039755351681957,1.3058823529411765,897,17.58823529411765
14 C,C152,0.7754491017964071,0.9113924050632911,796,26.533333333333335
14 C,C153,1.025,1.204724409448819,675,22.5
14 C,C154,0.7551020408163265,0.9666666666666667,603,28.714285714285715
14 C,C155,1.4957264957264957,1.4460431654676258,798,20.46153846153846
14 C,C156,1.2897196261682242,1.344,682,20.058823529411764
14 C,C157,1.1666666666666667,1.525,667,17.102564102564102
14 C,C158,0.8656716417910447,1.0859375,676,21.125
14 C,C159,0.8808664259927798,0.9424460431654677,689,16.404761904761905
14 C,C160,0.818815331010453,0.98,703,18.025641025641026
14 C,C161,1.5087719298245614,1.5642857142857143,801,18.627906976744185
14 C,C162,1.0761904761904761,1.0952380952380953,623,21.482758620689655
14 C,C163,0.5524691358024691,0.7284768211920529,693,20.38235294117647
14 C,C164,1.1589958158995817,1.1946308724832215,734,18.82051282051282
14 E,C65,0.8373493975903614,0.9585798816568047,853,17.408163265306122
14 E,C66,1.0572687224669604,0.927536231884058,625,18.38235294117647
14 E,C67,0.9861111111111112,0.9833333333333333,604,23.23076923076923
14 E,C68,0.7210144927536232,0.9477611940298507,632,20.387096774193548
14 E,C69,1.4631147540983607,1.6044776119402986,794,20.358974358974358
14 E,C70,1.2166666666666666,1.5217391304347827,580,30.526315789473685
14 E,C71,0.9965753424657534,1.1005917159763314,790,23.235294117647058
14 E,C72,0.9404255319148936,1.2,664,19.529411764705884
14 E,C73,0.47058823529411764,0.7013888888888888,651,21.0
14 E,C74,1.2677824267782427,1.413533834586466,757,24.419354838709676
14 E,C75,0.8436213991769548,1.0082644628099173,604,20.133333333333333
14 E,C76,0.7593984962406015,1.0390625,608,18.424242424242426
14 E,C77,1.0948275862068966,1.2296296296296296,611,16.97222222222222
14 E,C78,0.6812080536912751,0.8913043478260869,704,22.70967741935484
14 E,C79,0.7878787878787878,0.9041095890410958,742,23.1875
14 E,C80,1.16,1.2015503875968991,665,22.166666666666668
14 E,C81,0.6847826086956522,0.88,827,26.677419354838708
14 E,C82,0.8739837398373984,1.2053571428571428,611,21.06896551724138
14 E,C83,1.1403508771929824,1.1935483870967742,682,27.28
14 E,C84,1.0616438356164384,1.0941176470588236,422,24.823529411764707
14 E,C85,0.9698275862068966,1.0859375,650,24.074074074074073
14 E,C86,0.7991071428571429,0.9421487603305785,567,20.25
14 E,C87,0.7256637168141593,0.9473684210526315,824,32.96
14 E,C88,0.8541666666666666,1.0364963503649636,610,25.416666666666668
14 E,C89,1.1020408163265305,1.2727272727272727,530,19.62962962962963
14 E,C90,1.4666666666666666,1.676923076923077,405,18.40909090909091
14 E,C91,1.167420814479638,1.1384615384615384,646,16.564102564102566
14 E,C92,1.0901639344262295,1.4523809523809523,718,21.11764705882353
14 E,C93,1.0774907749077491,1.083916083916084,771,40.578947368421055
14 E,C94,0.7655677655677655,1.0078740157480315,632,19.75
14 E,C96,1.1946902654867257,1.2820512820512822,683,25.296296296296298
14 E,C97,0.7617021276595745,0.9274193548387096,583,19.433333333333334
14 E,C98,1.248062015503876,1.2847682119205297,785,17.84090909090909
14 E,C99,0.98989898989899,1.1736111111111112,821,16.098039215686274
14 E,C100,1.0597014925373134,1.0413223140495869,592,29.6
14 E,C101,0.909375,1.1753246753246753,821,21.05128205128205
14 E,C102,1.1163793103448276,1.2335766423357664,664,18.97142857142857
14 E,C103,1.403755868544601,1.628099173553719,691,16.069767441860463
14 E,C104,1.3672727272727272,1.4866666666666666,897,24.243243243243242
14 E,C105,0.6556291390728477,0.8345323741007195,689,18.13157894736842
14 E,C106,1.167487684729064,1.3482142857142858,617,29.38095238095238
14 E,C107,0.8216783216783217,0.9712230215827338,731,22.151515151515152
